OBJECTID,PREFIX,NAME,TYPE,SUFFIX,POLICENAME,POLICETYPE,Date_Added,Editor,Method,FULLPOLNAME,CarteID,CrossStreetA,CrossStreetB,Date_Changed,FULL_NAME,LF_Addr,LT_Addr,RF_Addr,RT_Addr,MATERIAL,OWNER,FUNCTIONALCLASSIFICATION,JURISDICTION,ROUTESYSTEM,ROUTENUMBER,SpeedLimit,Scenic,RowWidth,AcceptDate,GlobalID,created_user,created_date,last_edited_user,last_edited_date,MUNILEFT,MUNIRIGHT,ZIPLEFT,ZIPRIGHT,STATELEFT,STATERIGHT,OneWay
233, ,BAY,RD, ,BAY,RD,,,,BAY RD,00363,CHAPEL RD,MECHANIC ST EXT & MECHANIC ST,,BAY RD,584,680,575,615,1,8,5,2,,,,1,Variable,6732/04/15 00:00:00+00,{16064FAE-485F-4F82-A729-80B22403E605},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
234, ,HULST,RD, ,HULST,RD,,,,ORCHARD ST,00177,ELF HILL RD & HULST RD,"ORCHARD ST, BELCHERTOWN",,ORCHARD ST,100,102,101,103,1,1,0,2,,,,,49.5',,{EE148A4A-3A8E-4695-92AA-ABDC03E4E924},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
235, ,RAMBLING,RD, ,RAMBLING,RD,,,,RAMBLING RD,00103,MCINTOSH DR,MCINTOSH DR,,RAMBLING RD,0,0,0,0,1,1,0,2,,,,,49.21',,{89350B02-3EFF-4898-AB68-64A01DE48E27},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
236, ,WINSTON,CT, ,WINSTON,CT,,,,WINSTON CT,,,GATEHOUSE RD,,WINSTON CT,2,18,1,17,1,2,0,H,,,,,,,{36574767-73CC-4A0D-BDF5-B3BA52A776F2},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
237, ,GATEHOUSE,RD, ,GATEHOUSE,RD,,,,GATEHOUSE RD,00021,EATON CT,WINSTON CT,,GATEHOUSE RD,90,90,91,91,1,1,0,2,,,,,60',,{47B4263C-1339-4166-84BE-FB196FDD833D},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
238, ,GATEHOUSE,RD, ,GATEHOUSE,RD,,,,GATEHOUSE RD,00021,WINSTON CT,WEBSTER CT,,GATEHOUSE RD,0,0,0,0,1,1,0,2,,,,,60',,{15F52957-93FD-4084-B08D-B8D585F80FFD},,,OLKINM,2016/01/13 15:50:17+00,AMHERST,AMHERST,01002,01002,MA,MA,
239, ,GATEHOUSE,RD, ,GATEHOUSE,RD,,OlkinM,,GATEHOUSE RD,00021,WEBSTER CT,OLD FARM RD & BELCHERTOWN RD,2005/01/19 00:00:00+00,GATEHOUSE RD,30,30,0,0,1,1,0,2,,,,,60',,{BD66AD9F-BEDF-4762-B361-0AA9E993A5B3},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
240, ,GATEHOUSE,RD, ,GATEHOUSE,RD,,,,GATEHOUSE RD,00021,EMERSON CT,EATON CT,,GATEHOUSE RD,2,30,1,29,1,2,0,H,,,,,60',,{23F7C004-8A7F-4D56-A97D-399F3B94A122},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
241, ,GATEHOUSE,RD, ,GATEHOUSE,RD,,,,GATEHOUSE RD,00021,STONY HILL RD,CHADWICK CT,,GATEHOUSE RD,0,0,0,0,1,1,0,2,,,,,60',,{FA5D9F0B-4681-41B9-A113-62204960F325},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
242, ,HULST,RD, ,HULST,RD,,,,HULST RD,00177,ARROWHEAD LN,ELF HILL RD & ORCHARD ST,,HULST RD,62,98,61,97,1,8,0,2,,,,,49.5',,{7A1EB9EE-6770-4D38-AABD-75BC2F0A6DF8},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
243, ,CHAPEL,RD, ,CHAPEL,RD,,,,CHAPEL RD,,BAY RD,END,,CHAPEL RD,0,0,0,0,1,2,0,H,,,,,Variable,,{BD16DF8D-DF77-4B4B-B0B8-81EBC4FFF52B},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
244,S,EAST,ST, ,SOUTH EAST,ST,,,,SOUTH EAST ST,00381,MECHANIC ST,BAY RD & CANTERBURY LN,,S EAST ST,1682,1730,1731,1793,1,8,5,2,,,,1,Variable,,{7AF27F4B-BCEB-48B8-8176-FD8C9212933B},,,olkinm,2013/07/29 18:27:39+00,AMHERST,AMHERST,01002,01002,MA,MA,
245, ,BAY,RD, ,BAY,RD,,,,BAY RD,00363,MECHANIC ST EXT & MECHANIC ST,S EAST ST & CANTERBURY LN,,BAY RD,696,830,691,839,1,8,5,2,,,,1,Variable,6732/04/15 00:00:00+00,{85E81AC6-2B9A-458E-B9AA-2DB0BD0406B0},,,olkinm,2013/07/29 18:30:34+00,AMHERST,AMHERST,01002,01002,MA,MA,
246, ,MECHANIC,ST,EX,MECHANIC,ST,,,,MECHANIC ST EXT,,BAY RD & MECHANIC ST,END,,MECHANIC ST EXT,120,180,119,179,1,2,0,H,,,,,,,{D4BAEFD3-87BC-409F-A96F-1A24B7DBA2ED},,,olkinm,2013/08/06 17:09:30+00,AMHERST,AMHERST,01002,01002,MA,MA,
247, ,HULST,RD, ,HULST,RD,,,,HULST RD,00177,STAGECOACH RD,ARROWHEAD LN,,HULST RD,32,40,43,55,1,8,0,2,,,,,49.5',,{3B316034-EA40-4093-87EE-61BE7CF02CF9},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
248, ,SPRING,ST, ,SPRING,ST,,,,SPRING ST,00212,WEBSTER ST,DICKINSON ST,,SPRING ST,82,122,73,97,1,8,0,2,,,,,49.5',,{81E6838C-1C2E-4512-9827-3A72B6B7A8BA},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
249,S,EAST,ST, ,SOUTH EAST,ST,,,,SOUTH EAST ST,00383,MAIN ST,FORT RIVER SCHOOL,,S EAST ST,0,0,1,83,1,8,0,2,,,,1,Variable,,{289E935B-D981-4FF7-A21F-451DA775E3DA},,,olkinm,2013/08/01 13:21:41+00,AMHERST,AMHERST,01002,01002,MA,MA,
250, ,ROUTE 116, , ,ROUTE 116,,,,,ROUTE 116,,,,,ROUTE 116,0,0,0,0,1,3,3,1,SR,116,,,,,{B1CFF7E9-3291-450C-B011-3CE94F5D0233},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
251, ,WATSON FARMS, , ,WATSON FARMS, ,,,,WATSON FARMS,,MAIN ST & SALEM ST & SALEM PL,END,,WATSON FARMS,0,0,0,0,1,2,0,H,,,,,,,{DEFE9D67-88BF-47B1-81BF-55720779FFB1},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
252, ,FARVIEW,WAY, ,FARVIEW,WAY,,,,FARVIEW WAY,00239,OLD TOWN RD,END,,FARVIEW WAY,40,50,19,57,1,1,0,2,,,,,40',,{FCCD3C26-2E55-4447-94E5-E0A1DB44BDE5},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
253, ,COLONIAL,CT, ,COLONIAL,CT,,,,COLONIAL CT,00189,GRANTWOOD DR,END,,COLONIAL CT,16,16,15,35,1,1,0,2,,,,,40',1969/04/15 00:00:00+00,{BE726D83-4D5A-4503-AE18-02FFB28DDBD4},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
254, ,KELLOGG,AVE, ,KELLOGG,AVE,,OlkinM,,KELLOGG AVE,00204,N PLEASANT ST,,,KELLOGG AVE,2,44,1,43,1,1,0,2,,,,,40',,{2F64FC8A-1751-4D7B-8A14-6D5813FB4E2E},,,OLKINM,2014/05/29 18:38:15+00,AMHERST,AMHERST,01002,01002,MA,MA,
255, ,KELLOGG,AVE, ,KELLOGG,AVE,,OlkinM,,KELLOGG AVE,00203,,SMITH ST,,KELLOGG AVE,46,64,45,63,1,1,0,2,,,,,40',,{1E642C3E-F15D-4476-937A-743B33969620},,,OLKINM,2014/05/29 18:38:49+00,AMHERST,AMHERST,01002,01002,MA,MA,
256, ,TYLER,PL, ,TYLER,PL,,,,TYLER PL,,LESSEY ST,END,,TYLER PL,2,36,1,35,1,2,0,H,,,,,,,{026E8C4F-DA56-44B7-9234-F51CFFACCBDC},,,OLKINM,2014/05/29 18:38:49+00,AMHERST,AMHERST,01002,01002,MA,MA,
258, ,LESSEY,ST, ,LESSEY,ST,,,,LESSEY ST,00235,CHURCHILL ST,TYLER PL,,LESSEY ST,38,38,37,37,1,8,0,2,,,,,40',,{06930D0F-B8AA-4B41-ACB2-E3B889B455CA},,,OLKINM,2014/05/29 18:38:49+00,AMHERST,AMHERST,01002,01002,MA,MA,
259, ,LESSEY,ST, ,LESSEY,ST,,,,LESSEY ST,00236,,CHURCHILL ST,,LESSEY ST,2,36,1,35,1,8,0,2,,,,,40',,{04E89B19-CA3C-4611-A594-37FBB864E775},,,OLKINM,2014/05/29 18:38:49+00,AMHERST,AMHERST,01002,01002,MA,MA,
260, ,BOLTWOOD,WALK, ,BOLTWOOD,WALK,,OlkinM,,BOLTWOOD WALK,,MAIN ST, ,,BOLTWOOD WALK,51,51,30,70,1,1,0,2,,,,,,,{2A2105BF-585A-44C5-B288-FF561C5A6D28},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
261, ,BOLTWOOD,WALK, ,BOLTWOOD,WALK,,OlkinM,,BOLTWOOD WALK,,,KELLOGG AVE,,BOLTWOOD WALK,0,0,0,0,1,1,0,2,,,,,,,{F07A5B5A-85C0-4B08-8F4D-6389468B0320},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
262, ,MILL,LN, ,MILL,LN,,OlkinM,,MILL LN,00323,WEST ST,,,MILL LN,26,26,29,189,1,8,0,2,,,,1,33',,{8A98E910-3B71-4FA0-9B2E-471EF6B66F8C},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
263, ,MOORLAND,ST, ,MOORLAND,ST,,,,MOORLAND ST,00338,OLD TOWN RD,FAIRFIELD ST,,MOORLAND ST,4,32,19,19,1,1,0,2,,,,,40',,{7A86240F-8420-4D62-B02B-9D011F7CE8EC},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
264, ,OLD TOWN,RD, ,OLD TOWN,RD,,,,OLD TOWN RD,00340,MOORLAND ST,END,,OLD TOWN RD,0,0,79,79,1,4,0,B,,,,,42',,{4AB48110-1EF5-4BBA-AFF6-77A281906C48},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
265, ,EASTMAN,LN, ,EASTMAN,LN,,,,EASTMAN LN,,TOTMAN RD,SYLVAN DR,,EASTMAN LN,0,0,0,0,1,4,6,B,,,,,33',,{F916BF78-5FEC-4189-9564-385F5A440850},,,olkinm,2013/08/01 14:28:35+00,AMHERST,AMHERST,01002,01002,MA,MA,
266, ,TOTMAN,RD, ,TOTMAN,RD,,,,TOTMAN RD,,EASTMAN LN,END,,TOTMAN RD,2,12,1,11,1,4,0,B,,,,,,,{D9165A55-3B3C-4CFC-9ABF-4E6AE99E6FC1},,,olkinm,2013/08/01 14:17:39+00,AMHERST,AMHERST,01002,01002,MA,MA,
267,E,PLEASANT,ST, ,EAST PLEASANT,ST,,,,EAST PLEASANT ST,00295,OLYMPIA DR,EASTMAN LN & TILLSON FARM RD,,E PLEASANT ST,512,526,513,525,1,8,5,2,,,,1,Variable,1835/04/15 00:00:00+00,{025C6CE2-CFBA-4B48-9178-AA828185CDF5},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
268, ,EASTMAN,LN, ,EASTMAN,LN,,,,EASTMAN LN,,GOVERNORS DR & N PLEASANT ST,TOTMAN RD,,EASTMAN LN,0,0,0,0,1,4,6,B,,,,,33',,{D5F2EFFA-7AEF-4D75-9C67-513A654D64CE},,,olkinm,2013/08/01 14:28:31+00,AMHERST,AMHERST,01002,01002,MA,MA,
269,N,PLEASANT,ST, ,NORTH PLEASANT,ST,,,,NORTH PLEASANT ST,00302,GOVERNORS DR & EASTMAN LN,OLD TOWN RD,,N PLEASANT ST,750,786,0,0,1,8,5,2,,,,,Variable,1758/04/15 00:00:00+00,{9DBD2DCF-0EDB-4193-A520-F11951551786},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
270, ,ROSEMARY,ST, ,ROSEMARY,ST,,,,ROSEMARY ST,00305,LILAC LN,END,,ROSEMARY ST,16,46,21,27,1,,0,,,,,,,,{1D673667-0F25-4ECB-A207-E97D863BAD1B},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
